municipality,code_2016_3
Apače,SI032
Beltinci,SI032
Cankova,SI032
Črenšovci,SI032
Dobrovnik,SI032
Gornja Radgona,SI032
Gornji Petrovci,SI032
Grad,SI032
Hodoš,SI032
Kobilje,SI032
Križevci,SI032
Kuzma,SI032
Lendava,SI032
Ljutomer,SI032
Moravske Toplice,SI032
Murska Sobota,SI032
Odranci,SI032
Puconci,SI032
Radenci,SI032
Razkrižje,SI032
Rogašovci,SI032
Sveti Jurij ob Ščavnici,SI032
Šalovci,SI032
Tišina,SI032
Turnišče,SI032
Velika Polana,SI032
Veržej,SI032
Benedikt,SI032
Cerkvenjak,SI032
Cirkulane,SI032
Destrnik,SI032
Dornava,SI032
Duplek,SI032
Gorišnica,SI032
Hajdina,SI032
Hoče–Slivnica,SI032
Juršinci,SI032
Kidričevo,SI032
Kungota,SI032
Lenart,SI032
Lovrenc na Pohorju,SI032
Majšperk,SI032
Makole,SI032
Maribor,SI032
Markovci,SI032
Miklavž na Dravskem Polju,SI032
Oplotnica,SI032
Ormož,SI032
Pesnica,SI032
Podlehnik,SI032
Poljčane,SI032
Ptuj,SI032
Rače–Fram,SI032
Ruše,SI032
Selnica ob Dravi,SI032
Slovenska Bistrica,SI032
Središče ob Dravi,SI032
Starše,SI032
Sveta Ana,SI032
Sveta Trojica v Slovenskih Goricah,SI032
Sveti Andraž v Slovenskih Goricah,SI032
Sveti Jurij v Slovenskih Goricah,SI032
Sveti Tomaž,SI032
Šentilj,SI032
Trnovska Vas,SI032
Videm,SI032
Zavrč,SI032
Žetale,SI032
Črna na Koroškem,SI033
Dravograd,SI033
Mežica,SI033
Mislinja,SI033
Muta,SI033
Podvelka,SI033
Prevalje,SI033
Radlje ob Dravi,SI033
Ravne na Koroškem,SI033
Ribnica na Pohorju,SI033
Slovenj Gradec,SI033
Vuzenica,SI033
Braslovče,SI034
Celje,SI034
Dobje,SI034
Dobrna,SI034
Gornji Grad,SI034
Kozje,SI034
Laško,SI034
Ljubno,SI034
Luče,SI034
Mozirje,SI034
Nazarje,SI034
Podčetrtek,SI034
Polzela,SI034
Prebold,SI034
Rečica ob Savinji,SI034
Rogaška Slatina,SI034
Rogatec,SI034
Šentjur,SI034
Slovenske Konjice,SI034
Šmarje pri Jelšah,SI034
Šmartno ob Paki,SI034
Solčava,SI034
Šoštanj,SI034
Štore,SI034
Tabor,SI034
Velenje,SI034
Vitanje,SI034
Vojnik,SI034
Vransko,SI034
Žalec,SI034
Zreče,SI034
Hrastnik,SI035
Litija,SI035
Trbovlje,SI035
Zagorje ob Savi,SI035
Bistrica ob Sotli,SI036
Brežice,SI036
Kostanjevica na Krki,SI036
Krško,SI036
Radeče,SI036
Sevnica,SI036
Črnomelj,SI037
Dolenjske Toplice,SI037
Kočevje,SI037
Kostel,SI037
Loški Potok,SI037
Metlika,SI037
Mirna,SI037
Mirna Peč,SI037
Mokronog-Trebelno,SI037
Novo Mesto,SI037
Osilnica,SI037
Ribnica,SI037
Semič,SI037
Sodražica,SI037
Straža,SI037
Šentjernej,SI037
Šentrupert,SI037
Škocjan,SI037
Šmarješke Toplice,SI037
Trebnje,SI037
Žužemberk,SI037
Bloke,SI038
Cerknica,SI038
Ilirska Bistrica,SI038
Loška Dolina,SI038
Pivka,SI038
Postojna,SI038
Borovnica,SI041
Brezovica,SI041
Dobrepolje,SI041
Dobrova-Polhov Gradec,SI041
Dol pri Ljubljani,SI041
Domžale,SI041
Grosuplje,SI041
Horjul,SI041
Ig,SI041
Ivančna Gorica,SI041
Kamnik,SI041
Komenda,SI041
Ljubljana,SI041
Logatec,SI041
Log-Dragomer,SI041
Lukovica,SI041
Medvode,SI041
Mengeš,SI041
Moravče,SI041
Škofljica,SI041
Šmartno pri Litiji,SI041
Trzin,SI041
Velike Lašče,SI041
Vodice,SI041
Vrhnika,SI041
Bled,SI042
Bohinj,SI042
Cerklje na Gorenjskem,SI042
Gorenja Vas–Poljane,SI042
Gorje,SI042
Jesenice,SI042
Jezersko,SI042
Kranj,SI042
Kranjska Gora,SI042
Naklo,SI042
Preddvor,SI042
Radovljica,SI042
Šenčur,SI042
Škofja Loka,SI042
Tržič,SI042
Železniki,SI042
Žiri,SI042
Žirovnica,SI042
Ajdovščina,SI043
Bovec,SI043
Brda,SI043
Cerkno,SI043
Idrija,SI043
Kanal,SI043
Kobarid,SI043
Miren-Kostanjevica,SI043
Nova Gorica,SI043
Renče-Vogrsko,SI043
Šempeter-Vrtojba,SI043
Tolmin,SI043
Vipava,SI043
Ankaran,SI044
Divača,SI044
Hrpelje-Kozina,SI044
Izola,SI044
Komen,SI044
Koper,SI044
Piran,SI044
Sežana,SI044